gene	Median	class	Mean	stdev	Predicted_0.4
AT3G44320	0.575868728	unknown	0.578783679	0.121341389	SM
AT1G64470	0.449244362	unknown	0.464289216	0.101168308	SM
AT3G12203	0.857464793	unknown	0.846807942	0.07678432	SM
AT5G67150	0.648462283	unknown	0.63670266	0.109639211	SM
AT5G38010	0.886799454	unknown	0.863503857	0.087066559	SM
AT1G08730	0.521940528	unknown	0.515467336	0.114283349	SM
AT5G39030	0.656387557	unknown	0.659573391	0.0861393	SM
AT2G45610	0.775374714	unknown	0.754231222	0.111767611	SM
AT3G48520	0.763965858	unknown	0.749238723	0.102997006	SM
AT4G10440	0.655674538	unknown	0.643373765	0.11976023	SM
AT1G52810	0.873493178	unknown	0.858104958	0.080721518	SM
AT1G17000	0.567244169	unknown	0.570496569	0.132876689	SM
AT1G66020	0.768001597	unknown	0.760722066	0.094206239	SM
AT4G15480	0.878183569	unknown	0.871609868	0.066855935	SM
AT1G02660	0.469634537	unknown	0.467920618	0.09050025	SM
AT5G58820	0.666578647	unknown	0.665683768	0.123142075	SM
AT1G11730	0.637287116	unknown	0.620189723	0.120027236	SM
AT1G62600	0.857180547	unknown	0.840011854	0.108608389	SM
AT5G63800	0.461449646	unknown	0.457136622	0.09412389	SM
AT3G62160	0.646923076	unknown	0.661078479	0.126611037	SM
AT5G59480	0.517388471	unknown	0.521939904	0.106343951	SM
AT3G24230	0.619321149	unknown	0.616789192	0.127281364	SM
AT1G73340	0.597468276	unknown	0.59488463	0.130097435	SM
AT4G32320	0.451242252	unknown	0.460339977	0.12824587	SM
AT3G55130	0.665875108	unknown	0.672113797	0.096947377	SM
AT1G23160	0.726838566	unknown	0.720589015	0.090643395	SM
AT1G73650	0.521986247	unknown	0.516721488	0.088698019	SM
AT3G26310	0.91927684	unknown	0.887209698	0.093919549	SM
AT1G13430	0.838729214	unknown	0.818132942	0.097583153	SM
AT2G18800	0.667221836	unknown	0.659043104	0.111876995	SM
AT5G24910	0.852711526	unknown	0.844100666	0.068416403	SM
AT4G31940	0.903218585	unknown	0.887581809	0.062693783	SM
AT1G27620	0.696278527	unknown	0.684916767	0.123388329	SM
AT3G14820	0.872632416	unknown	0.8428547	0.090168883	SM
AT3G22920	0.550880719	unknown	0.550680432	0.118633927	SM
